facet,year,series,value
Latin America,2013,Argentina,56.9698172864785
Latin America,2013,Brazil,61.9022051022651
Latin America,2013,Chile,47.3754384147568
Latin America,2013,Colombia,59.5853761428619
Latin America,2013,Costa Rica,50.9148169478316
Latin America,2013,Mexico,63.9146853759677
Latin America,2013,Panama,63.7099403873351
Latin America,2013,Paraguay,64.9240914908927
Latin America,2013,Peru,51.8226434944685
Latin America,2013,Region average,58.0159398807035
Latin America,2014,Argentina,56.5641066941824
Latin America,2014,Brazil,61.6641964225864
Latin America,2014,Chile,46.9384426785717
Latin America,2014,Colombia,59.464330868728
Latin America,2014,Costa Rica,50.4026999615406
Latin America,2014,Mexico,63.8123286269176
Latin America,2014,Panama,62.6877399024502
Latin America,2014,Paraguay,62.1394762459172
Latin America,2014,Peru,51.3212858992961
Latin America,2014,Region average,57.5744736282206
Latin America,2015,Argentina,55.6926138969271
Latin America,2015,Brazil,61.1811776626582
Latin America,2015,Chile,46.3510791596346
Latin America,2015,Colombia,59.1800242905802
Latin America,2015,Costa Rica,50.1593563575521
Latin America,2015,Mexico,63.8044991419419
Latin America,2015,Panama,61.9706490992344
Latin America,2015,Paraguay,61.0250799211127
Latin America,2015,Peru,52.7866261014404
Latin America,2015,Region average,57.4158598963125
Latin America,2016,Argentina,54.8211210996717
Latin America,2016,Brazil,58.9336298424531
Latin America,2016,Chile,45.8038124603748
Latin America,2016,Colombia,59.2588362783266
Latin America,2016,Costa Rica,50.0525935617202
Latin America,2016,Mexico,63.3654261232281
Latin America,2016,Panama,61.4633820097219
Latin America,2016,Paraguay,63.7915025085392
Latin America,2016,Peru,54.6795708525604
Latin America,2016,Region average,57.4131838531966
Latin America,2017,Argentina,53.9496283024164
Latin America,2017,Brazil,56.8954653181958
Latin America,2017,Chile,45.3458997940691
Latin America,2017,Colombia,59.3232173385204
Latin America,2017,Costa Rica,49.8994779423554
Latin America,2017,Mexico,62.9698211276343
Latin America,2017,Panama,60.2781435952584
Latin America,2017,Paraguay,65.5875581899595
Latin America,2017,Peru,54.5520152981361
Latin America,2017,Region average,57.1267050676797
Latin America,2018,Argentina,51.7322283095305
Latin America,2018,Brazil,56.3843942212183
Latin America,2018,Chile,45.315306917288
Latin America,2018,Colombia,59.459610400916
Latin America,2018,Costa Rica,49.7343050060592
Latin America,2018,Mexico,62.6622579278303
Latin America,2018,Panama,57.4479249084139
Latin America,2018,Paraguay,64.8881096181682
Latin America,2018,Peru,52.8029448738143
Latin America,2018,Region average,56.1093307037146
Latin America,2019,Argentina,51.0131169901614
Latin America,2019,Brazil,55.9492264353137
Latin America,2019,Chile,44.2528727984068
Latin America,2019,Colombia,59.2360353093973
Latin America,2019,Costa Rica,48.2236511527799
Latin America,2019,Mexico,61.7500681248259
Latin America,2019,Panama,54.7201033977207
Latin America,2019,Paraguay,64.0959476722208
Latin America,2019,Peru,50.8950589497413
Latin America,2019,Region average,54.8107115358657
Latin America,2020,Argentina,51.0183610802032
Latin America,2020,Brazil,55.5627849313466
Latin America,2020,Chile,43.3357045562078
Latin America,2020,Colombia,58.9777934295098
